vocabulary,chinese
subordinate,n. 职位：下属 adj. 地位或者等级低的
paltry,分量：少的可怜的
gaiety,欢乐的（状态）
vacuous,思想贫乏的，空洞的 having or showing a lack of intelligence or serious thought
provenance,某物的起源，最早的源头
approbatory,指人或言论：对他人表示赞扬的
bromidic,指思想或者言论：无聊的，非原创的
pompous,指人：自视甚高的
probity,指某人的伦理道德程度：无可指责的道德（尤指面对金钱等诱惑的时候）
dissemble,
exacting,=demanding
rectitude,=probity 指某人人品正直
peregrination,长途步行跋涉
jubilation,因喜悦而欢腾鼓舞
peccadillo,小的过失
pretext,借口，不真实的理由
objectionable,snoop on 对某人的跟踪
founder,=fumble 1. 完全失败 to experience failure
make the grade,成功达到....目标
bear out,"bear sb/sth out, bear out sb 为某人或某物作证"
detachment,2. 客观，超然 freedom from bias or prejudice
perspicacity,洞察力 having or showing an ability to notice and understand things that are difficult or
defer (to),"听从; 服从 If you defer to someone, you accept their opinion or do what they want you to"
bereft (of),"缺少…的  lacking something needed ,wanted ,or expected"
causality,
preside,=in charge of 担任领导的角色
seethe,发怒；指人群沸腾并且参与活动的
retract,（被迫）否认之前说的话或者发的誓 收回之前说的话
amenable,指人：怀有开放的心态去面对他人的建议；容易被劝服的
upend,把某物弄的头朝下脚朝上
caricature,带有讽刺意味地去模拟某人或者某物来达到喜剧效果
revealing,衣着暴露的
ring true,"听起来真实 If a statement rings true, it seems to be true or genuine. (If it rings hollow, it
does not seem to be true or genuine.)"
fall short,没有达到目标（或要求）fail to meet (expectations or standards)
unassailable,"无懈可击的 not able to be doubted, attacked, or questioned"
speculative,（无根据）推测的 based on guesses or ideas about what might happen or be true rather than
judicious,指决策：被充分考虑过了的；明智的
flummery,蛋糕甜点心
on that score,=so far as = to the extent that
fuel,2.刺激，激起 stimulate
quotidian,"平凡的，每日的 commonplace, ordinary"
modulate,=adjust 调制，调节(频率，音调，数量）
prescriptive,=instructional 指导性的（指导他人应该做什么）
bludgeon,敲打，强迫某人做某事
profligate,指人：挥霍无度的
mawkish,=overly sentimental 多愁善感的；（病态的）深情的
impugn,通过言语攻击／指责
tout,=brag about  宣称....很牛逼；吹牛
metamorphose,形变
gild,给…镀金
tart,蛋挞
succor,在困境中的帮助
rabid,
condign,指惩罚：应得的
xenophobic,仇外的
pristine,"2. 淳朴的 in perfect condition : completely clean, fresh, neat, etc."
badger,纠缠 to harass or annoy persistently
sway,"摇摆，波动 to fluctuate or veer between one point, position, or opinion and another"
nugatory,"无价值的，微不足道的 of little or no consequence : trifling, inconsequential"
tedium,沉闷的一段时间或者状态
exorbitance,过分多的数量，尤其指花费或者成本
hidebound,贬义：迂腐守旧
execrate,责骂，指责
supersede,取代某人／某物的职位／角色
incursion,负面：尤其指军事的：入侵
senescence,生物术语：衰老
superannuation,养老金
prodigious,极大的，过分的
,
plunder,非法劫掠
modicum,=little = any at all 极少量的
lambast,严厉批评 to criticize someone or something very harshly : censure
sham,骗局，虚假的事物
standstill,停滞不前；僵止
sleek,指物：光泽光滑的
resourcefulness,足智多谋的品质
tenacity,毅力（褒义）
putative,传闻未证实的
grouchy,= irritable 口头语：正在发怒的
moribund,处于弥留之际的
assuming,"傲慢的 pretentious, presumptuous"
aggrieve,法律：侵害某人的权利 伤害某人感情，使其感到愤怒
anathema,令人非常厌恶的事 someone or something that is very strongly disliked
meretricious,俗气的 attractive in a cheap or false way
obviate,消除; 使...成为不必要  to make something no longer necessary : to prevent or avoid
unrelenting,2. 不屈不挠的 not letting up or weakening in vigor or pace : constant
germane,有密切关系的 relating to a subject in an appropriate way
overwrought,"极度情绪化的，神经很紧张的，十分忧虑的 very upset, nervous, and worried ；deeply agitated"
panegyric,颂词，赞颂 formal or elaborate praise
fulmination,爆炸声； 强烈抗议
calumny,诽谤；不实的传言
fusty,带霉味的；过时的
forswear,抛弃，摒弃
totemic,崇拜动物神灵学说的
aspersion,cast aspersions on sb 说某人的坏话，对某人提出恶意的质问
commendation,嘉奖，赞扬
sectarian,教派间的
purview,属于某人自身专业知识（之内的）
raillery,打趣，开轻快而不offensive的玩笑
beguiling,欺骗性的
taint,使…污染，变脏
madcap,草率决定的事情，没有考虑后果的事
putative,名义上的 = nominal
warp,使（心理或者物理上的东西）扭曲变形
grouchiness,易怒的，坏脾气的
prophylactic,预防性药物；避孕套
garrulity,废话太多
normalcy,= normality  指某个事物的常态
cannonical,正宗的，权威性的
emblematic,带有象征意味的
brazen,厚颜无耻的
lionize,崇拜，将...视为英雄
exonerate,=acquit = 指法庭上的：免罪释放
inherent,内在的，根深蒂固的
off-putting,让人感到厌烦无比的
layperson,业余的，非专业的
luminary,=celebrity名人
glitz,金光闪闪
rebuke,=censure=reprimand责备
,
contravene,=defy 违背，违反（翻绿或者规则
exigent,需要特别注意的
apprehension,=anxiety焦虑 =capture逮捕（动物）
old-timer,老兵，老司机
stalemate,=impasse僵局
gravitate towards,被吸引到
sleazy,指人：品行低劣的
covetous,covetous of 渴求....的
turgid,=overblown 由于液体在内而显得肿胀的 
turbid,指液体：混杂的 指意义：不明的，混乱的
profane,特指对于神圣的宗教的亵渎
paragon,优秀典范
oblivious,oblivious of 对…浑然不知的，未察觉的
heedlessly,掉以轻心地
untrammeled,自由自在的
pejorative,指词语：贬义的
immaterial,immaterial to 特指对于一个法律事件来说：毫无意义的，不重要的（证据，论点）
cavil,=quibble 不常用：对一些琐碎的细节吹毛求疵
cronyism,裙带关系
entanglement,使得猎物无法脱身的陷阱
unflagging,毫不减弱的（热情）；毫不松懈
buoyancy,"2. 轻松的心情 the ability of someone or something to continue to be happy, strong, etc."
eschew,极力躲避与自己 不合 的事物
shun,躲避某人某物 宗教背景：普通人躲避那些被绝罚的宗教罪人
belabor,literal: 痛打 figurative: 投入大量精力反复讨论
hobble,跛行到某处
proffer,politeness + offer = proffer 给予某人善意的建议（可以拒绝）
